group,sample_index,predicted_class,true_class,feature,lime_weight
most_confident_correct,631,0,0,X151,-0.07474482276342656
most_confident_correct,631,0,0,X102,0.06402891075448196
most_confident_correct,631,0,0,X165,-0.06138672185950065
most_confident_correct,631,0,0,X97,0.06032339870121278
most_confident_correct,631,0,0,X174,0.05702196106869053
most_confident_correct,631,0,0,X17,0.05582636809680265
most_confident_correct,631,0,0,X168,-0.0521219131340753
most_confident_correct,631,0,0,X73,0.05068346200614415
most_confident_correct,631,0,0,X91,-0.04980872661975015
most_confident_correct,631,0,0,X163,-0.04847012501453147
most_confident_correct,631,0,0,X30,0.045244554919881774
most_confident_correct,631,0,0,X44,0.04363117252006054
most_confident_correct,1592,0,0,X165,-0.08724858475634614
most_confident_correct,1592,0,0,X102,-0.07598879436518151
most_confident_correct,1592,0,0,X89,0.07200426945874097
most_confident_correct,1592,0,0,X174,-0.06547039928587454
most_confident_correct,1592,0,0,X40,0.06062253291557542
most_confident_correct,1592,0,0,X17,0.05715391611348853
most_confident_correct,1592,0,0,X23,0.05658618216583363
most_confident_correct,1592,0,0,X107,0.05243780991488634
most_confident_correct,1592,0,0,X151,-0.05082728905682335
most_confident_correct,1592,0,0,X98,0.04989939657972101
most_confident_correct,1592,0,0,X173,0.04710987162745153
most_confident_correct,1592,0,0,X123,-0.04400117297856236
most_confident_correct,77,0,0,X91,0.07142071152216668
most_confident_correct,77,0,0,X137,0.06551107705933608
most_confident_correct,77,0,0,X151,0.05993632285111542
most_confident_correct,77,0,0,X165,-0.058180845673175656
most_confident_correct,77,0,0,X38,0.05671162658081845
most_confident_correct,77,0,0,X174,-0.05641658551874038
most_confident_correct,77,0,0,X176,0.0562915789465059
most_confident_correct,77,0,0,X136,0.05592811443904167
most_confident_correct,77,0,0,X163,-0.05103416920061711
most_confident_correct,77,0,0,X40,-0.05091894118344421
most_confident_correct,77,0,0,X162,0.04953530677178248
most_confident_correct,77,0,0,X152,0.04872815369555105
most_confident_correct,1648,0,0,X151,0.0731417914814314
most_confident_correct,1648,0,0,X165,0.0728466219198165
most_confident_correct,1648,0,0,X91,-0.06374740496254501
most_confident_correct,1648,0,0,X60,0.058374607351581516
most_confident_correct,1648,0,0,X168,-0.05476852199599954
most_confident_correct,1648,0,0,X120,0.05372101185975601
most_confident_correct,1648,0,0,X163,0.0458026833061537
most_confident_correct,1648,0,0,X31,0.0448324301126875
most_confident_correct,1648,0,0,X138,-0.042997772227516294
most_confident_correct,1648,0,0,X70,0.04180725140019887
most_confident_correct,1648,0,0,X89,0.039485580555543
most_confident_correct,1648,0,0,X98,0.03675090190216974
most_uncertain_correct,844,2,2,X13,0.014565268677660675
most_uncertain_correct,844,2,2,X173,0.01145576761051027
most_uncertain_correct,844,2,2,X18,0.010535168240089245
most_uncertain_correct,844,2,2,X84,-0.01036682131169554
most_uncertain_correct,844,2,2,X154,-0.009964560040836108
most_uncertain_correct,844,2,2,X25,0.009198794320838845
most_uncertain_correct,844,2,2,X76,-0.008779915983350327
most_uncertain_correct,844,2,2,X170,-0.008336216019628544
most_uncertain_correct,844,2,2,X89,-0.00763276693432768
most_uncertain_correct,844,2,2,X86,0.007464620500972042
most_uncertain_correct,844,2,2,X19,0.007348007501111614
most_uncertain_correct,844,2,2,X8,-0.007235337234789128
most_uncertain_correct,1243,3,3,X151,-0.0870017775880915
most_uncertain_correct,1243,3,3,X38,0.06858930248029868
most_uncertain_correct,1243,3,3,X102,-0.06644615932759707
most_uncertain_correct,1243,3,3,X40,-0.05878922593169747
most_uncertain_correct,1243,3,3,X49,-0.056073090266199305
most_uncertain_correct,1243,3,3,X21,0.05119227375501649
most_uncertain_correct,1243,3,3,X152,-0.04756916748429183
most_uncertain_correct,1243,3,3,X132,0.04542753538768144
most_uncertain_correct,1243,3,3,X89,-0.04435742969132456
most_uncertain_correct,1243,3,3,X55,0.040344140473721805
most_uncertain_correct,1243,3,3,X98,-0.03696015117410708
most_uncertain_correct,1243,3,3,X110,0.028535350995888
most_uncertain_correct,1195,2,2,X24,0.013001689600474525
most_uncertain_correct,1195,2,2,X130,0.010399277805940568
