,count,mean,std,min,25%,50%,75%,max
X1,11500.0,-11.581391304347827,165.6262841154431,-1839.0,-54.0,-8.0,34.0,1726.0
X2,11500.0,-10.911565217391304,166.05960921769594,-1838.0,-55.0,-8.0,35.0,1713.0
X3,11500.0,-10.187130434782608,163.52431689866737,-1835.0,-54.0,-7.0,36.0,1697.0
X4,11500.0,-9.14304347826087,161.26904104553333,-1845.0,-54.0,-8.0,36.0,1612.0
X5,11500.0,-8.009739130434783,160.99800681116048,-1791.0,-54.0,-8.0,35.0,1518.0
X6,11500.0,-7.003478260869565,161.32872485228305,-1757.0,-54.0,-8.0,36.0,1816.0
X7,11500.0,-6.502086956521739,161.46783683291085,-1832.0,-54.0,-8.0,35.0,2047.0
X8,11500.0,-6.687130434782609,162.11911962565017,-1778.0,-55.0,-8.0,36.0,2047.0
X9,11500.0,-6.558,162.03336025910028,-1840.0,-55.0,-7.0,36.0,2047.0
X10,11500.0,-6.168434782608696,160.43635188334824,-1867.0,-54.0,-7.0,35.25,2047.0
X11,11500.0,-5.827478260869565,160.47101720281796,-1765.0,-54.0,-8.0,36.0,2047.0
X12,11500.0,-6.042173913043478,161.18111818926016,-1803.0,-54.0,-8.0,35.0,2047.0
X13,11500.0,-6.687304347826087,165.07112090969156,-1833.0,-54.0,-8.0,36.0,2047.0
X14,11500.0,-7.088869565217391,169.198358831576,-1867.0,-54.0,-8.0,37.0,1829.0
X15,11500.0,-7.211217391304348,170.64196706755732,-1870.0,-53.0,-7.0,37.0,1631.0
X16,11500.0,-7.088260869565217,168.93035531277727,-1839.0,-53.0,-7.0,38.0,1532.0
X17,11500.0,-6.8066956521739135,164.64629590551937,-1867.0,-53.0,-6.0,37.0,1441.0
X18,11500.0,-6.744695652173913,162.0626606493039,-1856.0,-52.0,-7.0,38.0,1352.0
X19,11500.0,-6.484782608695652,162.57133277832705,-1844.0,-53.0,-6.0,38.0,1504.0
X20,11500.0,-6.448434782608696,162.33991088708123,-1717.0,-53.0,-6.0,39.0,1821.0
X21,11500.0,-6.355391304347826,162.82332488363636,-1764.0,-53.0,-7.0,39.0,2022.0
X22,11500.0,-6.543130434782609,163.9097227677008,-1856.0,-53.0,-6.0,38.0,2047.0
X23,11500.0,-6.884347826086956,165.84417633361969,-1844.0,-53.0,-6.0,37.0,2040.0
X24,11500.0,-6.883217391304348,166.00910011260822,-1866.0,-52.0,-7.0,38.0,1879.0
X25,11500.0,-6.118869565217391,164.71515322889405,-1863.0,-52.0,-7.0,37.0,1666.0
X26,11500.0,-5.159130434782608,162.774230478749,-1866.0,-52.0,-6.0,38.0,1435.0
X27,11500.0,-4.785652173913044,162.90229394653068,-1781.0,-51.0,-6.0,37.0,1340.0
X28,11500.0,-4.874782608695652,164.79983132942053,-1860.0,-50.0,-6.0,38.25,1257.0
X29,11500.0,-5.393565217391305,165.3916971622258,-1818.0,-50.0,-5.0,38.0,1452.0
X30,11500.0,-5.935478260869565,164.29111958240026,-1867.0,-50.0,-5.0,38.0,1551.0
