number,value,datetime_start,datetime_complete,duration,params_architecture,params_dropout,params_learning_rate,params_weight_decay,state
0,0.6556026935577393,2026-08-30 18:29:34.418066,2026-08-30 18:30:13.071414,0 days 00:00:38.653348,medium,0.30000000000000004,0.0001700037298921101,2.9375384576328313e-06,COMPLETE
1,0.628906786441803,2026-08-30 18:30:13.073417,2026-08-30 18:31:03.061862,0 days 00:00:49.988445,medium,0.4,0.00010725209743172001,0.0008123245085588687,COMPLETE
2,0.6763956546783447,2026-08-30 18:31:03.061862,2026-08-30 18:31:39.032893,0 days 00:00:35.971031,small,0.1,0.0002814509271606064,3.752055855124284e-05,COMPLETE
3,0.7279907464981079,2026-08-30 18:31:39.032893,2026-08-30 18:32:09.053882,0 days 00:00:30.020989,large,0.1,0.00027010527749605503,1.2562773503807034e-05,COMPLETE
4,0.6699657440185547,2026-08-30 18:32:09.056427,2026-08-30 18:32:30.156413,0 days 00:00:21.099986,medium,0.30000000000000004,0.000750011895041699,1.3783237455007196e-06,COMPLETE
5,0.6369936466217041,2026-08-30 18:32:30.156413,2026-08-30 18:32:46.596976,0 days 00:00:16.440563,small,0.5,0.0026690431824362526,0.0002661901888489054,COMPLETE
6,0.6908974647521973,2026-08-30 18:32:46.597287,2026-08-30 18:33:51.099939,0 days 00:01:04.502652,large,0.30000000000000004,0.00015144860262751404,3.058656666978529e-05,COMPLETE
7,0.6435548067092896,2026-08-30 18:33:51.101968,2026-08-30 18:34:34.638739,0 days 00:00:43.536771,medium,0.4,0.00028869220380495745,3.632486956676606e-05,COMPLETE
8,0.7020717859268188,2026-08-30 18:34:34.638739,2026-08-30 18:35:24.294337,0 days 00:00:49.655598,large,0.4,0.002442046084491142,0.00048359527764659497,COMPLETE
9,0.6981536149978638,2026-08-30 18:35:24.294337,2026-08-30 18:36:21.108359,0 days 00:00:56.814022,medium,0.1,0.00011662890273931399,9.462175356461487e-06,COMPLETE
10,0.746493935585022,2026-08-30 18:36:21.110369,2026-08-30 18:37:44.506438,0 days 00:01:23.396069,large,0.2,0.0010672112706919764,0.00010323015857001449,COMPLETE
11,0.7184916734695435,2026-08-30 18:37:44.510061,2026-08-30 18:38:34.619005,0 days 00:00:50.108944,large,0.2,0.0008917724920591377,0.00016801358227044058,COMPLETE
12,0.7385796308517456,2026-08-30 18:38:34.619005,2026-08-30 18:39:58.163573,0 days 00:01:23.544568,large,0.2,0.0009637375180902084,0.00011040263852530882,COMPLETE
13,0.7249034643173218,2026-08-30 18:39:58.164513,2026-08-30 18:40:28.324228,0 days 00:00:30.159715,large,0.2,0.001027523790179065,0.00011146634654798864,COMPLETE
14,0.717040479183197,2026-08-30 18:40:28.324228,2026-08-30 18:40:51.892276,0 days 00:00:23.568048,large,0.2,0.0014543058601191694,8.661025596666064e-05,COMPLETE
15,0.7198120355606079,2026-08-30 18:40:51.894317,2026-08-30 18:41:53.630946,0 days 00:01:01.736629,large,0.2,0.0005326442226593842,8.276099178087895e-05,COMPLETE
16,0.7289645075798035,2026-08-30 18:41:53.632494,2026-08-30 18:43:24.642112,0 days 00:01:31.009618,large,0.2,0.0014819327912615758,0.0002880168404179711,COMPLETE
17,0.6581798791885376,2026-08-30 18:43:24.643113,2026-08-30 18:44:18.658794,0 days 00:00:54.015681,small,0.30000000000000004,0.00044378373679770976,1.781450769024045e-05,COMPLETE
18,0.7458658218383789,2026-08-30 18:44:18.660307,2026-08-30 18:45:52.233159,0 days 00:01:33.572852,large,0.1,0.0015698068783243256,0.0009717966968557759,COMPLETE
19,0.7399340867996216,2026-08-30 18:45:52.233159,2026-08-30 18:47:07.377775,0 days 00:01:15.144616,large,0.1,0.0017080659935001258,0.0009728613904848122,COMPLETE
20,0.7204654216766357,2026-08-30 18:47:07.378774,2026-08-30 18:47:46.779384,0 days 00:00:39.400610,small,0.1,0.0019199838403961835,0.0005021342196169607,COMPLETE
21,0.7277305126190186,2026-08-30 18:47:46.780409,2026-08-30 18:48:53.944632,0 days 00:01:07.164223,large,0.1,0.00145192689133182,0.0008087411777442792,COMPLETE
22,0.7386428117752075,2026-08-30 18:48:53.944632,2026-08-30 18:50:19.161316,0 days 00:01:25.216684,large,0.1,0.0017783255642913616,0.000867514565549092,COMPLETE
23,0.7447205781936646,2026-08-30 18:50:19.161316,2026-08-30 18:52:02.194826,0 days 00:01:43.033510,large,0.1,0.0006294095505459509,0.00031946432149483714,COMPLETE
24,0.7418224811553955,2026-08-30 18:52:02.201465,2026-08-30 18:53:12.939996,0 days 00:01:10.738531,large,0.2,0.0006136801351206882,0.00027357646956619483,COMPLETE
25,0.721358060836792,2026-08-30 18:53:12.943644,2026-08-30 18:53:49.200639,0 days 00:00:36.256995,large,0.1,0.0011760001888267875,0.0004899345428419964,COMPLETE
26,0.7224375009536743,2026-08-30 18:53:49.200639,2026-08-30 18:54:49.643106,0 days 00:01:00.442467,large,0.2,0.0004396949475201363,0.00018080322571788684,COMPLETE
27,0.7220150232315063,2026-08-30 18:54:49.645126,2026-08-30 18:55:47.377923,0 days 00:00:57.732797,large,0.1,0.0007037346030342701,5.869651947652391e-05,COMPLETE
28,0.7263062596321106,2026-08-30 18:55:47.377923,2026-08-30 18:57:17.094571,0 days 00:01:29.716648,large,0.1,0.0011801481220709642,0.00016893806027344123,COMPLETE
29,0.6636900901794434,2026-08-30 18:57:17.094571,2026-08-30 18:57:56.958020,0 days 00:00:39.863449,small,0.2,0.0003679946899594914,4.869302537251105e-06,COMPLETE
