feature,mean_abs_lime_weight,explanation_count
X151,0.05592069546057021,32
X102,0.05574162512356952,35
X165,0.05482215269549181,24
X114,0.05339282434624458,8
X162,0.05234719483542424,4
X100,0.04940541337364899,1
X73,0.04885875340053538,21
X40,0.04750973719885303,32
X132,0.04659397779252663,17
X97,0.04634917535953605,16
X91,0.04541602115672344,42
X163,0.044345635725625554,14
X137,0.04175478280484469,12
X168,0.04101173405886704,31
X174,0.040422701740796124,11
X136,0.040273382829580685,29
X49,0.03981698198727044,19
X31,0.038453615170966134,1
X60,0.03793003153493113,21
X89,0.037443010824939366,37
X38,0.03683949144831138,22
X30,0.0359752694920722,11
X6,0.03597052741778204,14
X17,0.03550848937841185,16
X123,0.035196578236853515,21
X176,0.03400270059270144,9
X94,0.0339264410701286,8
X101,0.031651660774991305,7
X98,0.0313000681495181,17
X157,0.031217480343851235,11
X19,0.029910587017597714,14
X118,0.028985366252622796,5
X52,0.027926884739292515,8
X35,0.02704216693806523,13
X150,0.025536207763825744,16
X70,0.024253416036317893,17
X55,0.024188223332326057,8
X43,0.023682785703407695,2
X41,0.023679976727908662,8
X12,0.023295064876518754,6
X67,0.022759577513968347,10
X107,0.022750375038313862,5
X138,0.02207487087876579,15
X79,0.02198796926668071,4
X126,0.02148951064355622,10
X108,0.020757724692695243,14
X146,0.020674141796959485,8
X116,0.01940822666986395,5
X42,0.019241629248533825,4
X71,0.018957997479598095,4
X155,0.018213868331128175,7
X26,0.018177767140897746,3
X104,0.0180646340036028,4
X129,0.01796056754346158,7
X69,0.01756612623109021,7
X85,0.01695556972267911,3
X106,0.016697695141464252,10
X34,0.016479287390317985,10
X63,0.016007980468970756,4
X173,0.015777001948440644,17
X133,0.015422394941051099,8
X23,0.014874634718593537,8
X90,0.01440084894211223,8
X142,0.014280165486151797,10
X152,0.014120969032229515,9
X32,0.013026750512528633,11
X141,0.012772104816645482,6
X178,0.012379469821769925,8
X109,0.012018694196151525,5
X9,0.011990494706997737,19
X169,0.01177515930095883,4
X59,0.011768829496792907,7
X153,0.011700746232472659,6
X78,0.011600333828935152,6
X125,0.011415917680514708,7
X81,0.010945415227077591,6
X110,0.010534272617698388,6
X124,0.010465933405721663,7
X159,0.00954784069095069,9
X24,0.008725206228624738,8
X175,0.00825583292755075,2
X5,0.007966317415732126,1
X13,0.007926621985763863,5
X154,0.007589196628197201,15
X21,0.007539900501988446,3
X127,0.007442156821224346,2
X103,0.007322274046579885,5
X128,0.007216975441396083,6
X53,0.0070647165407690575,5
X111,0.007020700344057706,6
X54,0.006960684653528279,4
X177,0.006925621743271039,1
X76,0.006836494625966379,5
X8,0.006760333226685478,13
X135,0.006749616850478676,3
X167,0.0067361745195878165,8
X45,0.006629427980229282,10
X25,0.006623580777057893,9
X99,0.006577539551659457,8
X77,0.006540793837118633,5
X39,0.006466710166586414,4
X74,0.006437351278062257,3
X121,0.00641575389660941,2
X149,0.00639731982491391,2
X170,0.0063412405047620045,9
X7,0.006337611313948537,4
X20,0.006265471164283002,9
X18,0.006182191307561232,7
X130,0.006157803626703646,5
X164,0.006139266488864888,9
X166,0.006134239624041432,12
X10,0.006128827705258958,9
X37,0.006102338458374389,6
X161,0.006046612034557966,2
X15,0.006029464304981243,3
X158,0.006002193108662796,3
X51,0.005977804606596881,7
X144,0.0059470326708415955,1
X140,0.0059231374322321825,1
X131,0.005849048537633514,6
X50,0.005820927309458393,7
X27,0.0057965708826735836,6
X105,0.005779602302423501,4
X44,0.00570161177314244,8
X28,0.005613659632872781,10
X96,0.005582610956403189,7
X122,0.005545390139468784,3
X112,0.005537905036300236,7
X64,0.005517121985488048,2
X80,0.005489537735715505,7
X115,0.005475184728213941,4
X88,0.005454580397388231,5
X61,0.005445135649836839,2
X145,0.005441679561027326,3
X92,0.0054229937164345,6
X83,0.005416267466639611,2
X14,0.005409630431101325,9
X3,0.005385052541672443,6
X11,0.005355256680888553,6
X29,0.005349573003118824,10
X57,0.005330827816856635,4
X33,0.005329716795606162,8
X1,0.005281321123656647,4
X84,0.005276571930275138,3
X56,0.005240658902511387,4
X2,0.005238289771029324,2
X156,0.005193515121383451,1
X171,0.005179605245623607,4
X86,0.005169637771044768,7
X16,0.005165459724394223,12
X143,0.005152270988527055,5
X62,0.00510578525380259,7
X68,0.005075963742005186,4
X66,0.005051992646402467,4
X72,0.005042076217458122,4
X120,0.005023312270199182,6
X75,0.004999890185899682,4
X82,0.00497123743226444,3
X47,0.004948836898385054,4
X147,0.0048958239128452565,8
X117,0.004879197521757632,2
X87,0.004868131570133625,3
X139,0.004858491000764813,2
X93,0.004819942190477267,7
X172,0.004806770243496458,3
X4,0.004780868990747882,4
X22,0.004713130164861652,2
X148,0.00468288727907861,3
X160,0.004669720532680434,1
X58,0.004595411062658237,4
X113,0.004591483742001301,5
X36,0.004568808046870443,3
X48,0.004567779037030641,6
X119,0.0044991104081921725,6
X46,0.004451059607671778,5
X95,0.004358708629818481,2
X65,0.0038458960464071877,1
