index,true,pred,correct,max_probability,entropy,margin_top1_top2
1658,0,0,True,0.99999976,6.119437e-06,0.99999946
1146,0,0,True,0.99999964,4.8724323e-06,0.99999946
1069,0,0,True,0.99999964,6.4703872e-06,0.9999993
332,0,0,True,0.99999917,1.31523475e-05,0.9999987
1339,0,0,True,0.9999989,1.8144476e-05,0.9999983
1566,0,0,True,0.9999989,1.7899443e-05,0.9999978
930,0,0,True,0.99999654,5.0029208e-05,0.9999949
367,0,0,True,0.9999937,8.8784516e-05,0.99998933
688,0,0,True,0.9999919,0.00011293654,0.9999882
1547,0,0,True,0.99998987,0.00013803922,0.9999849
840,0,0,True,0.9999877,0.0001573091,0.9999771
1105,0,0,True,0.9999876,0.00016324992,0.9999792
1099,0,0,True,0.9999863,0.00017312916,0.9999737
1026,0,0,True,0.9999863,0.00018001604,0.9999768
217,0,0,True,0.99998283,0.00022492667,0.99997574
690,0,0,True,0.9999826,0.0002232098,0.9999727
760,0,0,True,0.9999722,0.00034256317,0.9999529
1572,0,0,True,0.99997056,0.00034931398,0.9999444
274,0,0,True,0.9999702,0.00034092527,0.99994034
1592,0,0,True,0.99996984,0.00034888997,0.9999406
