index,true,pred,correct,max_probability,entropy,margin_top1_top2
1243,3,3,True,0.3287514,1.5203152,0.07008761
1199,1,1,True,0.35526755,1.5042231,0.099820256
1173,1,1,True,0.3478408,1.4239324,0.09158829
1358,4,4,True,0.30588195,1.4109828,0.028970093
1284,2,2,True,0.36142698,1.3633335,0.010971069
851,2,2,True,0.4554714,1.3460531,0.17111328
1257,0,0,True,0.40567595,1.3354847,0.100800425
977,0,0,True,0.5216222,1.3351145,0.34018272
1195,2,2,True,0.41208336,1.3310184,0.13372755
710,2,2,True,0.47252548,1.321665,0.24895427
1455,4,4,True,0.37652683,1.3104384,0.10560104
811,2,2,True,0.40686843,1.2986777,0.07892746
932,3,3,True,0.44457975,1.2977338,0.21296972
275,2,2,True,0.50193155,1.2808957,0.25246406
1553,1,1,True,0.48995668,1.2791438,0.2884068
522,3,3,True,0.43684295,1.2648818,0.15745303
703,4,4,True,0.44199774,1.2594981,0.18534812
591,2,2,True,0.39542788,1.2531552,0.09721908
888,4,4,True,0.48448086,1.2508144,0.2349728
863,4,4,True,0.47880375,1.2447859,0.23398083
