index,true,pred,correct,max_probability,entropy,margin_top1_top2
1148,1,4,False,0.3829876,1.3680229,0.13182268
1047,3,4,False,0.41681042,1.3544147,0.18252422
577,1,3,False,0.3200622,1.3472315,0.013958901
466,3,4,False,0.38612112,1.3333547,0.11701611
243,3,4,False,0.3790654,1.3311288,0.0916903
416,0,2,False,0.42234662,1.3190566,0.18218702
710,2,4,False,0.40940282,1.2937094,0.1256504
57,1,4,False,0.45679027,1.2798216,0.22566085
519,4,1,False,0.4080325,1.2771038,0.1349074
207,4,1,False,0.4234595,1.2766073,0.10832748
1248,4,2,False,0.38895723,1.2708722,0.027407676
1706,2,3,False,0.4246279,1.2663829,0.14524347
468,1,2,False,0.48070577,1.2565548,0.22233254
1073,2,3,False,0.5211254,1.2557815,0.32042164
318,0,1,False,0.44244465,1.2516617,0.13335124
687,2,4,False,0.41075477,1.2501369,0.11164874
307,4,1,False,0.3672116,1.2484905,0.014077485
1708,4,2,False,0.36070794,1.2303807,0.043774962
627,1,4,False,0.40264165,1.2285771,0.06389704
1455,4,1,False,0.37027988,1.2242876,0.04788232
